INFO         | Android emulator version 36.5.11.0 (build_id 15261927) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath C:\Users\mw\Documents\projects\apps\reset\.android-sdk\system-images\android-35\google_apis\x86_64\
INFO         | Increasing RAM size to 2048MB
INFO         | IPv4 server found: 1.1.1.1
INFO         | Ignore IPv6 address: f8b4:5dd:fc01:0:c09e:5dd:fc01:0
INFO         | Ignore IPv6 address: f8b4:5dd:fc01:0:c09e:5dd:fc01:0
INFO         | Ignore IPv6 address: f8b4:5dd:fc01:0:c09e:5dd:fc01:0
INFO         | Guest GLES Driver: Auto (ext controls)
INFO         | emuglConfig_get_vulkan_hardware_gpu_support_info: Found physical GPU 'AMD  Radeon RX 7800 XT', type: VK_PHYSICAL_DEVICE_TYPE_DISCRETE_GPU, apiVersion: 1.4.349, driverVersion: 2.0.395

INFO         | emuglConfig_init: vulkan_mode_selected:host gles_mode_selected:host
INFO         | Enabled VulkanAllocateDeviceMemoryOnly feature for gpu vendor AMD  Radeon RX 7800 XT on Linux

INFO         | Checking system compatibility:
INFO         |   Checking: hasCompatibleHypervisor
INFO         |      Ok: Hypervisor compatibility to run avd: `ResetGuardApi35` are met
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `ResetGuardApi35` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU requirements to run avd: `ResetGuardApi35` are passed
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `ResetGuardApi35` are met
INFO         | Critical: Failed to load opengl32sw (The specified module could not be found.) (:0, )
INFO         | Warning: Software OpenGL failed. Falling back to system OpenGL. (:0, )
INFO         | Storing crashdata in: C:\Users\mw\AppData\Local\Temp\\AndroidEmulator\emu-crash-36.5.11.db, detection is enabled for process: 5172
INFO         | Initializing gfxstream backend
INFO         | android_startOpenglesRenderer: gpu info
INFO         | GPU #1
  Make: 1002
  Model: AMD  Radeon RX 7800 XT
  Device ID: 747e

INFO         | SharedLibrary::open for [C:\Users\mw\Documents\projects\apps\reset\.android-sdk\emulator\qemu\windows-x86_64\lib64\vulkan\vulkan-1.dll]
INFO         | SharedLibrary::open for [C:\Users\mw\Documents\projects\apps\reset\.android-sdk\emulator\lib64\vulkan\vulkan-1.dll]
INFO         | Added library: C:\Users\mw\Documents\projects\apps\reset\.android-sdk\emulator\lib64\vulkan\vulkan-1.dll
INFO         | Selecting Vulkan device: AMD  Radeon RX 7800 XT, Version: 1.4.349
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: true
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         | Graphics Adapter Vendor Google (ATI Technologies Inc.)
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (AMD  Radeon RX 7800 XT)
INFO         | Graphics API Version OpenGL ES 3.0 (4.5.0 Core Profile Context 26.8.1.260810)
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_OVR_multiview2 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 GL_EXT_texture_buffer 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Sending adb public key [QAAAAPEjWvbvkukTxNdYQOSFlqEuDXX1lQL0XArqPs4kXVSSLbJt0HPSUHKZ6ps4ay+tB/DXsM/cCdaw3S3TlUHi7uS53zrg/99t57S56gEj45yUxscreSUncwxiqqUPQaY9Av5B68WNUKoOS2/Xm4WYkLedf2WjDd1yk7oLc+dPpG5RXOTD1/lkaCFwiWGWEeF6ak0l9u5w2KJ82PwtKUI8Y5sP7ymBeFu8qF+F28n24KXMLU8Girf7uI8v1+oAFTVMurogtH1V8SQbDBjuyfwbfUy5FbNFHS6mqWtHtVou6/2NMee+zOAV9cXMrO+K8D0RQ2jyoWz14vnEunM5w2+qEVhSNSaesD00pSBcTMa4sZeHd5p7dpUImRKk5aovZ0yMFjrNBhUOYjyMSGMBNzb0wtYkhBxcDMemSZT6UyeOWRCrUgVT1ya3Pa2L4H3LO/03OvTUPZxC/+kCQwgyIVtU2kyHZYSbqkeUhPst7KXdOmMSLRAGs9KJncq6sUArPaOMcAJUEmSIpxucZ//dXtf2Bh7LPnAdAxEPkM8sCIjIouiiPDW6x4v2x/laVeDifVvGpfeJyUI95jeqr1vMpkg77Z2e+htzaM9wY6J2UvDLMlEsT01Ct+U8ni58069+qzHS1sb7tEgxAAzap1DXy34eByZLVcuM9AOM0Bkw/Qa+l2igZlrcCAEAAQA= @unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=pci0000:00/0000:00:03.0 pci0000:00/0000:00:06.0
INFO         |   androidboot.dalvik.vm.heapsize=512m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.debug.sf.nobootanimation=1
INFO         |   androidboot.hardware=ranchu
INFO         |   androidboot.hardware.gltransport=pipe
INFO         |   androidboot.hardware.vulkan=ranchu
INFO         |   androidboot.logcat=*:V
INFO         |   androidboot.opengles.version=196609
INFO         |   androidboot.qemu=1
INFO         |   androidboot.qemu.adb.pubkey=QAAAAPEjWvbvkukTxNdYQOSFlqEuDXX1lQL0XArqPs4kXVSSLbJt0HPSUHKZ6ps4ay+tB/DXsM/cCdaw3S3TlUHi7uS53zrg/99t57S56gEj45yUxscreSUncwxiqqUPQaY9Av5B68WNUKoOS2/Xm4WYkLedf2WjDd1yk7oLc+dPpG5RXOTD1/lkaCFwiWGWEeF6ak0l9u5w2KJ82PwtKUI8Y5sP7ymBeFu8qF+F28n24KXMLU8Girf7uI8v1+oAFTVMurogtH1V8SQbDBjuyfwbfUy5FbNFHS6mqWtHtVou6/2NMee+zOAV9cXMrO+K8D0RQ2jyoWz14vnEunM5w2+qEVhSNSaesD00pSBcTMa4sZeHd5p7dpUImRKk5aovZ0yMFjrNBhUOYjyMSGMBNzb0wtYkhBxcDMemSZT6UyeOWRCrUgVT1ya3Pa2L4H3LO/03OvTUPZxC/+kCQwgyIVtU2kyHZYSbqkeUhPst7KXdOmMSLRAGs9KJncq6sUArPaOMcAJUEmSIpxucZ//dXtf2Bh7LPnAdAxEPkM8sCIjIouiiPDW6x4v2x/laVeDifVvGpfeJyUI95jeqr1vMpkg77Z2e+htzaM9wY6J2UvDLMlEsT01Ct+U8ni58069+qzHS1sb7tEgxAAzap1DXy34eByZLVcuM9AOM0Bkw/Qa+l2igZlrcCAEAAQA= @unknown
INFO         |   androidboot.qemu.avd_name=ResetGuardApi35
INFO         |   androidboot.qemu.camera_hq_edge_processing=0
INFO         |   androidboot.qemu.camera_protocol_ver=1
INFO         |   androidboot.qemu.cpuvulkan.version=4202496
INFO         |   androidboot.qemu.gltransport.drawFlushInterval=800
INFO         |   androidboot.qemu.gltransport.name=pipe
INFO         |   androidboot.qemu.hwcodec.avcdec=2
INFO         |   androidboot.qemu.hwcodec.hevcdec=2
INFO         |   androidboot.qemu.hwcodec.vpxdec=2
INFO         |   androidboot.qemu.settings.system.screen_off_timeout=2147483647
INFO         |   androidboot.qemu.skin=1080x2340
INFO         |   androidboot.qemu.virtiowifi=1
INFO         |   androidboot.qemu.vsync=60
INFO         |   androidboot.serialno=EMULATOR36X5X11X0
INFO         |   androidboot.vbmeta.digest=b3271ba499104f4631ae3723913d5c12574e01715fce5b82d60beed097ead264
INFO         |   androidboot.vbmeta.hash_alg=sha256
INFO         |   androidboot.vbmeta.size=6720
INFO         |   androidboot.veritymode=enforcing
WHPX on Windows 10.0.26100 detected.
Windows Hypervisor Platform accelerator is operational
INFO         | Monitoring duration of emulator setup.
WARNING      | The emulator now requires a signed jwt token for gRPC access! Use the -grpc flag if you really want an open unprotected grpc port
INFO         | Using security allow list from: C:\Users\mw\Documents\projects\apps\reset\.android-sdk\emulator\lib\emulator_access.json
WARNING      | *** Basic token auth should only be used by android-studio ***
INFO         | The active JSON Web Key Sets can be found here: C:\Users\mw\AppData\Local\Temp\avd\running\5172\jwks\1b66bf62-acae-4445-88bf-78dbb44b6b59\active.jwk
INFO         | Scanning C:\Users\mw\AppData\Local\Temp\avd\running\5172\jwks\1b66bf62-acae-4445-88bf-78dbb44b6b59 for jwk keys.
INFO         | Started GRPC server at 127.0.0.1:8554, security: Local, auth: +token
INFO         | Advertising in: C:\Users\mw\AppData\Local\Temp\avd\running\pid_5172.ini
INFO         | Activated packet streamer for bluetooth emulation
INFO         | Successfully initialized netsim WiFi
INFO         | Setting display: 0 configuration to: 1080x2340, dpi: 440x440 
INFO         | setDisplayActiveConfig: id:0, 1080x2340
INFO         | emulatorSetupEnvironment: Setting up screen background view and display layout at env:1080x2340, lcd:1080x2340
INFO         | emulatorSetupEnvironment: Environment scene is not required
INFO         | Checking system compatibility:
INFO         |   Checking: hasCompatibleHypervisor
INFO         |      Ok: Hypervisor compatibility to run avd: `ResetGuardApi35` are met
INFO         |   Checking: hasSufficientSystem
INFO         |      Ok: System requirements to run avd: `ResetGuardApi35` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU requirements to run avd: `ResetGuardApi35` are passed
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `ResetGuardApi35` are met
INFO         | Loading snapshot 'default_boot'...
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_rgbcSensorValueWidget_valueChanged() (:0, )
INFO         | Warning: QMetaObject::connectSlotsByName: No matching signal for on_posture_valueChanged(int) (:0, )
INFO         | Successfully loaded snapshot 'default_boot' using 541 ms
INFO         | Warning: QObject::connect: Cannot queue arguments of type 'std::vector<android::emulation::control::SnapshotInfo>'
(Make sure 'std::vector<android::emulation::control::SnapshotInfo>' is registered using qRegisterMetaType().) (:0, )
INFO         | AVD supportsNativeGLES=1, supportsGuestAngle=1
INFO         | Warning: QObject::connect: No such signal ToolWindow::microphoneEnabledChanged() in C:/buildbot/src/googleplex-android/emu-36-5-release/external/qemu/android/android-ui/modules/aemu-ui-qt/src/android/skin/qt/extended-window.cpp:160 (:0, )
INFO         | Warning: QObject::connect:  (sender name:   'ToolControls') (:0, )
INFO         | Warning: QObject::connect:  (receiver name: 'microphonePage') (:0, )
INFO         | Warning: QObject::connect: No such signal MicrophonePage::microphoneEnabledChanged() in C:/buildbot/src/googleplex-android/emu-36-5-release/external/qemu/android/android-ui/modules/aemu-ui-qt/src/android/skin/qt/extended-window.cpp:162 (:0, )
INFO         | Warning: QObject::connect:  (sender name:   'microphonePage') (:0, )
INFO         | Warning: QObject::connect:  (receiver name: 'ToolControls') (:0, )
INFO         | Created extended window in 657.147ms
INFO         | Created VkInstance:000001FE37FC2ED0 for application:'Chromium' engine:''.
INFO         | Created VkDevice:000001FE384E1D00 for application:'Chromium' instance:000001FE37FC2ED0. ASTC emulation:on CPU decoding:off.
INFO         | Warning: Retrying to obtain clipboard. (:0, )
INFO         | Wait for emulator (pid 5172) 20 seconds to shutdown gracefully before kill;you can set environment variable ANDROID_EMULATOR_WAIT_TIME_BEFORE_KILL(in seconds) to change the default value (20 seconds)

WARNING      | Not saving state: current state does not support snapshotting. Reason: UNSUPPORTED_VK_APP
INFO         | Deleting snapshot default_boot
INFO         | Deleting snapshot default_boot
INFO         | Saving snapshot 'default_boot' using 26 ms
INFO         | Destroyed VkDevice:000001FE384E1D00
INFO         | Destroyed VkInstance:000001FE37FC2ED0 for application:'Chromium' engine:''.
WARNING      | Netsim Wifi localhost:56800 is gone due to CANCELLED
