# Aurora R2b synthetic measurement fixture
# Frequency (Hz), SPL (dB), Phase (degrees)
20.000000, 0.000000, 0
21.185075, 0.000000, 0
22.440369, 0.000000, 0
23.770045, 0.000000, 0
25.178508, 0.000000, 0
26.670429, 0.000000, 0
28.250751, 0.000000, 0
29.924713, 0.000000, 0
31.697864, 0.000000, 0
33.576080, 0.000000, 0
35.565588, 0.000000, 0
37.672982, 0.000000, 0
39.905246, 0.000000, 0
42.269781, 0.000000, 0
44.774423, 0.000000, 0
47.427474, 0.000000, 0
50.237729, 0.000000, 0
53.214501, 0.000000, 0
56.367659, 0.000000, 0
59.707652, 0.000000, 0
63.245553, 0.000000, 0
66.993088, 0.000000, 0
70.962678, 0.000000, 0
75.167481, 0.000000, 0
79.621434, 0.000000, 0
84.339301, 0.000000, 0
89.336718, 0.000000, 0
94.630252, 0.000000, 0
100.237447, 0.000000, 0
106.176889, 0.000000, 0
112.468265, 0.000000, 0
119.132429, 0.000000, 0
126.191469, 0.000000, 0
133.668784, 0.000000, 0
141.589157, 0.000000, 0
149.978842, 0.000000, 0
158.865647, 0.000000, 0
168.279028, 0.000000, 0
178.250188, 0.000000, 0
188.812175, 0.000001, 0
200.000000, 0.000003, 0
211.850745, 0.000007, 0
224.403691, 0.000019, 0
237.700445, 0.000050, 0
251.785082, 0.000124, 0
266.704286, 0.000301, 0
282.507509, 0.000699, 0
299.247131, 0.001565, 0
316.978638, 0.003375, 0
335.760804, 0.007011, 0
355.655882, 0.014027, 0
376.729818, 0.027029, 0
399.052463, 0.050163, 0
422.697808, 0.089663, 0
447.744228, 0.154359, 0
474.274741, 0.255936, 0
502.377286, 0.408711, 0
532.145012, 0.628613, 0
563.676586, 0.931182, 0
597.076524, 1.328523, 0
632.455532, 1.825522, 0
669.930878, 2.415954, 0
709.626778, 3.079454, 0
751.674809, 3.780439, 0
796.214341, 4.469864, 0
843.393007, 5.090141, 0
893.367184, 5.582759, 0
946.302518, 5.897275, 0
1002.374467, 5.999809, 0
1061.768888, 5.879047, 0
1124.682650, 5.548300, 0
1191.324287, 5.043087, 0
1261.914689, 4.414855, 0
1336.687835, 3.722373, 0
1415.891569, 3.022783, 0
1499.788419, 2.364163, 0
1588.656469, 1.780867, 0
1682.790283, 1.292019, 0
1782.501876, 0.902796, 0
1888.121753, 0.607567, 0
2000.000000, 0.393806, 0
2118.507450, 0.245841, 0
2244.036909, 0.147812, 0
2377.004455, 0.085595, 0
2517.850824, 0.047739, 0
2667.042864, 0.025643, 0
2825.075089, 0.013267, 0
2992.471312, 0.006611, 0
3169.786385, 0.003172, 0
3357.608036, 0.001466, 0
3556.558820, 0.000653, 0
3767.298179, 0.000280, 0
3990.524630, 0.000116, 0
4226.978080, 0.000046, 0
4477.442277, 0.000018, 0
4742.747411, 0.000006, 0
5023.772863, 0.000002, 0
5321.450120, 0.000001, 0
5636.765863, 0.000000, 0
5970.765238, 0.000000, 0
6324.555320, 0.000000, 0
6699.308783, 0.000000, 0
7096.267785, 0.000000, 0
7516.748086, 0.000000, 0
7962.143411, 0.000000, 0
8433.930069, 0.000000, 0
8933.671843, 0.000000, 0
9463.025179, 0.000000, 0
10023.744673, 0.000000, 0
10617.688885, 0.000000, 0
11246.826504, 0.000000, 0
11913.242871, 0.000000, 0
12619.146890, 0.000000, 0
13366.878351, 0.000000, 0
14158.915688, 0.000000, 0
14997.884187, 0.000000, 0
15886.564694, 0.000000, 0
16827.902833, 0.000000, 0
17825.018763, 0.000000, 0
18881.217526, 0.000000, 0
20000.000000, 0.000000, 0
