# Aurora R2b synthetic measurement fixture
# Frequency (Hz), SPL (dB), Phase (degrees)
20.000000, -0.000014, 0
21.185075, -0.000026, 0
22.440369, -0.000048, 0
23.770045, -0.000087, 0
25.178508, -0.000154, 0
26.670429, -0.000269, 0
28.250751, -0.000462, 0
29.924713, -0.000781, 0
31.697864, -0.001301, 0
33.576080, -0.002132, 0
35.565588, -0.003439, 0
37.672982, -0.005463, 0
39.905246, -0.008543, 0
42.269781, -0.013151, 0
44.774423, -0.019929, 0
47.427474, -0.029730, 0
50.237729, -0.043661, 0
53.214501, -0.063123, 0
56.367659, -0.089839, 0
59.707652, -0.125872, 0
63.245553, -0.173614, 0
66.993088, -0.235736, 0
70.962678, -0.315104, 0
75.167481, -0.414640, 0
79.621434, -0.537125, 0
84.339301, -0.684963, 0
89.336718, -0.859897, 0
94.630252, -1.062707, 0
100.237447, -1.292911, 0
106.176889, -1.548499, 0
112.468265, -1.825748, 0
119.132429, -2.119135, 0
126.191469, -2.421385, 0
133.668784, -2.723683, 0
141.589157, -3.016040, 0
149.978842, -3.287799, 0
158.865647, -3.528263, 0
168.279028, -3.727385, 0
178.250188, -3.876459, 0
188.812175, -3.968751, 0
200.000000, -4.000000, 0
211.850745, -3.968751, 0
224.403691, -3.876459, 0
237.700445, -3.727385, 0
251.785082, -3.528263, 0
266.704286, -3.287799, 0
282.507509, -3.016040, 0
299.247131, -2.723683, 0
316.978638, -2.421385, 0
335.760804, -2.119135, 0
355.655882, -1.825748, 0
376.729818, -1.548499, 0
399.052463, -1.292911, 0
422.697808, -1.062707, 0
447.744228, -0.859897, 0
474.274741, -0.684963, 0
502.377286, -0.537125, 0
532.145012, -0.414640, 0
563.676586, -0.315104, 0
597.076524, -0.235736, 0
632.455532, -0.173614, 0
669.930878, -0.125872, 0
709.626778, -0.089839, 0
751.674809, -0.063123, 0
796.214341, -0.043661, 0
843.393007, -0.029730, 0
893.367184, -0.019929, 0
946.302518, -0.013151, 0
1002.374467, -0.008543, 0
1061.768888, -0.005463, 0
1124.682650, -0.003439, 0
1191.324287, -0.002132, 0
1261.914689, -0.001301, 0
1336.687835, -0.000781, 0
1415.891569, -0.000462, 0
1499.788419, -0.000269, 0
1588.656469, -0.000154, 0
1682.790283, -0.000087, 0
1782.501876, -0.000048, 0
1888.121753, -0.000026, 0
2000.000000, -0.000014, 0
2118.507450, -0.000008, 0
2244.036909, -0.000004, 0
2377.004455, -0.000002, 0
2517.850824, -0.000001, 0
2667.042864, -0.000001, 0
2825.075089, -0.000000, 0
2992.471312, -0.000000, 0
3169.786385, -0.000000, 0
3357.608036, -0.000000, 0
3556.558820, -0.000000, 0
3767.298179, -0.000000, 0
3990.524630, -0.000000, 0
4226.978080, -0.000000, 0
4477.442277, -0.000000, 0
4742.747411, -0.000000, 0
5023.772863, -0.000000, 0
5321.450120, -0.000000, 0
5636.765863, -0.000000, 0
5970.765238, -0.000000, 0
6324.555320, -0.000000, 0
6699.308783, -0.000000, 0
7096.267785, -0.000000, 0
7516.748086, -0.000000, 0
7962.143411, -0.000000, 0
8433.930069, -0.000000, 0
8933.671843, -0.000000, 0
9463.025179, -0.000000, 0
10023.744673, -0.000000, 0
10617.688885, -0.000000, 0
11246.826504, -0.000000, 0
11913.242871, -0.000000, 0
12619.146890, -0.000000, 0
13366.878351, -0.000000, 0
14158.915688, -0.000000, 0
14997.884187, -0.000000, 0
15886.564694, -0.000000, 0
16827.902833, -0.000000, 0
17825.018763, -0.000000, 0
18881.217526, -0.000000, 0
20000.000000, -0.000000, 0
