7Hz Salnotes Zero	Auriculares Argentina	results/Auriculares Argentina/in-ear/7Hz Salnotes Zero/7Hz Salnotes Zero ParametricEQ.txt
DUNU Titan S	Auriculares Argentina	results/Auriculares Argentina/in-ear/DUNU Titan S/DUNU Titan S ParametricEQ.txt
EPZ Q5 Pro	Auriculares Argentina	results/Auriculares Argentina/in-ear/EPZ Q5 Pro/EPZ Q5 Pro ParametricEQ.txt
EPZ Q5	Auriculares Argentina	results/Auriculares Argentina/in-ear/EPZ Q5/EPZ Q5 ParametricEQ.txt
Etymotic ER2SE	Auriculares Argentina	results/Auriculares Argentina/in-ear/Etymotic ER2SE/Etymotic ER2SE ParametricEQ.txt
Final Audio E1000	Auriculares Argentina	results/Auriculares Argentina/in-ear/Final Audio E1000/Final Audio E1000 ParametricEQ.txt
Haylou Moripods	Auriculares Argentina	results/Auriculares Argentina/in-ear/Haylou Moripods/Haylou Moripods ParametricEQ.txt
KZ ZSN Pro	Auriculares Argentina	results/Auriculares Argentina/in-ear/KZ ZSN Pro/KZ ZSN Pro ParametricEQ.txt
Kiwi Ears KE4	Auriculares Argentina	results/Auriculares Argentina/in-ear/Kiwi Ears KE4/Kiwi Ears KE4 ParametricEQ.txt
Moondrop Aria Snow Edition	Auriculares Argentina	results/Auriculares Argentina/in-ear/Moondrop Aria Snow Edition/Moondrop Aria Snow Edition ParametricEQ.txt
Simgot Audio EA500 (black nozzle)	Auriculares Argentina	results/Auriculares Argentina/in-ear/Simgot Audio EA500 (black nozzle)/Simgot Audio EA500 (black nozzle) ParametricEQ.txt
Simgot Audio EM6L	Auriculares Argentina	results/Auriculares Argentina/in-ear/Simgot Audio EM6L/Simgot Audio EM6L ParametricEQ.txt
Sony WF-1000XM4	Auriculares Argentina	results/Auriculares Argentina/in-ear/Sony WF-1000XM4/Sony WF-1000XM4 ParametricEQ.txt
Tin HiFi T2	Auriculares Argentina	results/Auriculares Argentina/in-ear/Tin HiFi T2/Tin HiFi T2 ParametricEQ.txt
Truthear x Crinacle Zero RED	Auriculares Argentina	results/Auriculares Argentina/in-ear/Truthear x Crinacle Zero RED/Truthear x Crinacle Zero RED ParametricEQ.txt
AKG K52	Auriculares Argentina	results/Auriculares Argentina/over-ear/AKG K52/AKG K52 ParametricEQ.txt
AKG K612 Pro	Auriculares Argentina	results/Auriculares Argentina/over-ear/AKG K612 Pro/AKG K612 Pro ParametricEQ.txt
AKG K701	Auriculares Argentina	results/Auriculares Argentina/over-ear/AKG K701/AKG K701 ParametricEQ.txt
AKG K702	Auriculares Argentina	results/Auriculares Argentina/over-ear/AKG K702/AKG K702 ParametricEQ.txt
AUNE AR5000	Auriculares Argentina	results/Auriculares Argentina/over-ear/AUNE AR5000/AUNE AR5000 ParametricEQ.txt
Audeze LCD-X	Auriculares Argentina	results/Auriculares Argentina/over-ear/Audeze LCD-X/Audeze LCD-X ParametricEQ.txt
Audient EVO SR2000	Auriculares Argentina	results/Auriculares Argentina/over-ear/Audient EVO SR2000/Audient EVO SR2000 ParametricEQ.txt
Audio-Technica ATH-M40x	Auriculares Argentina	results/Auriculares Argentina/over-ear/Audio-Technica ATH-M40x/Audio-Technica ATH-M40x ParametricEQ.txt
Audio-Technica ATH-M50x	Auriculares Argentina	results/Auriculares Argentina/over-ear/Audio-Technica ATH-M50x/Audio-Technica ATH-M50x ParametricEQ.txt
Audio-Technica ATH-R70x	Auriculares Argentina	results/Auriculares Argentina/over-ear/Audio-Technica ATH-R70x/Audio-Technica ATH-R70x ParametricEQ.txt
Beats Studio3 Wireless	Auriculares Argentina	results/Auriculares Argentina/over-ear/Beats Studio3 Wireless/Beats Studio3 Wireless ParametricEQ.txt
Behringer HC 200	Auriculares Argentina	results/Auriculares Argentina/over-ear/Behringer HC 200/Behringer HC 200 ParametricEQ.txt
Beyerdynamic DT 770 Pro (250 Ohm)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Beyerdynamic DT 770 Pro (250 Ohm)/Beyerdynamic DT 770 Pro (250 Ohm) ParametricEQ.txt
Beyerdynamic DT 770 Pro (80 Ohm)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Beyerdynamic DT 770 Pro (80 Ohm)/Beyerdynamic DT 770 Pro (80 Ohm) ParametricEQ.txt
Beyerdynamic DT 770 Pro	Auriculares Argentina	results/Auriculares Argentina/over-ear/Beyerdynamic DT 770 Pro/Beyerdynamic DT 770 Pro ParametricEQ.txt
Beyerdynamic DT 880 (250 Ohm)	Auriculares Argentina	results/Auriculares Argentina/over-ear/Beyerdynamic DT 880 (250 Ohm)/Beyerdynamic DT 880 (250 Ohm) ParametricEQ.txt
