# Spinorama measured speaker EQ; revision b38d2715441f134a63b737b2fd913d14058a2643
# Model<TAB>Source<TAB>Path; only actual iir-autoeq.txt files, no symlinks
A-for-Ara FS1	Spinorama	datas/eq/A-for-Ara FS1/iir-autoeq.txt
ADS L520	Spinorama	datas/eq/ADS L520/iir-autoeq.txt
AIA Cinema CCRM10-P	Spinorama	datas/eq/AIA Cinema CCRM10-P/iir-autoeq.txt
AIYIMA S600	Spinorama	datas/eq/AIYIMA S600/iir-autoeq.txt
ASR Directiva Open Source Speaker	Spinorama	datas/eq/ASR Directiva Open Source Speaker/iir-autoeq.txt
ATC SCM19 v1	Spinorama	datas/eq/ATC SCM19 v1/iir-autoeq.txt
AV123 X-CS Center	Spinorama	datas/eq/AV123 X-CS Center/iir-autoeq.txt
Aalto Speakers Aalto 1 EVO	Spinorama	datas/eq/Aalto Speakers Aalto 1 EVO/iir-autoeq.txt
Aalto Speakers Aalto 3 Passive	Spinorama	datas/eq/Aalto Speakers Aalto 3 Passive/iir-autoeq.txt
Acoustic Energy AE100 Mk2	Spinorama	datas/eq/Acoustic Energy AE100 Mk2/iir-autoeq.txt
Adam A4V	Spinorama	datas/eq/Adam A4V/iir-autoeq.txt
Adam A5X	Spinorama	datas/eq/Adam A5X/iir-autoeq.txt
Adam A7V	Spinorama	datas/eq/Adam A7V/iir-autoeq.txt
Adam D3V	Spinorama	datas/eq/Adam D3V/iir-autoeq.txt
Adam S2V	Spinorama	datas/eq/Adam S2V/iir-autoeq.txt
Adam T5V	Spinorama	datas/eq/Adam T5V/iir-autoeq.txt
Adam T7V	Spinorama	datas/eq/Adam T7V/iir-autoeq.txt
Adam T8V	Spinorama	datas/eq/Adam T8V/iir-autoeq.txt
Advent The New Advent Loudspeaker	Spinorama	datas/eq/Advent The New Advent Loudspeaker/iir-autoeq.txt
Alcons Audio LR7+LRB	Spinorama	datas/eq/Alcons Audio LR7+LRB/iir-autoeq.txt
Alcons Audio QR24	Spinorama	datas/eq/Alcons Audio QR24/iir-autoeq.txt
Alcons Audio QRP20 120x15	Spinorama	datas/eq/Alcons Audio QRP20 120x15/iir-autoeq.txt
Alcons Audio QRP20 90x15	Spinorama	datas/eq/Alcons Audio QRP20 90x15/iir-autoeq.txt
Alcons Audio QRP40	Spinorama	datas/eq/Alcons Audio QRP40/iir-autoeq.txt
Alcons Audio RR12	Spinorama	datas/eq/Alcons Audio RR12/iir-autoeq.txt
Alcons Audio SR9	Spinorama	datas/eq/Alcons Audio SR9/iir-autoeq.txt
Alcons Audio VR5 V1	Spinorama	datas/eq/Alcons Audio VR5 V1/iir-autoeq.txt
Altec Lansing Soudrower Pro 650	Spinorama	datas/eq/Altec Lansing Soudrower Pro 650/iir-autoeq.txt
Altec Lansing Soundrower Pro 650	Spinorama	datas/eq/Altec Lansing Soundrower Pro 650/iir-autoeq.txt
Amate Audio X102FD	Spinorama	datas/eq/Amate Audio X102FD/iir-autoeq.txt
Amate Audio X12CLA	Spinorama	datas/eq/Amate Audio X12CLA/iir-autoeq.txt
Amate Audio X14FD	Spinorama	datas/eq/Amate Audio X14FD/iir-autoeq.txt
Amazon Basic R60BTUS	Spinorama	datas/eq/Amazon Basic R60BTUS/iir-autoeq.txt
Amphion Argon1	Spinorama	datas/eq/Amphion Argon1/iir-autoeq.txt
Andersson HIS 2.1	Spinorama	datas/eq/Andersson HIS 2.1/iir-autoeq.txt
Aoshida Audio Musician Knight I V2	Spinorama	datas/eq/Aoshida Audio Musician Knight I V2/iir-autoeq.txt
Aperion Audio Novus N5B	Spinorama	datas/eq/Aperion Audio Novus N5B/iir-autoeq.txt
Aperion Audio Novus N5C	Spinorama	datas/eq/Aperion Audio Novus N5C/iir-autoeq.txt
Aperion Audio Novus N5T	Spinorama	datas/eq/Aperion Audio Novus N5T/iir-autoeq.txt
Aperion Audio Novus N6SR	Spinorama	datas/eq/Aperion Audio Novus N6SR/iir-autoeq.txt
Aperion Audio Verus III Concert V6C	Spinorama	datas/eq/Aperion Audio Verus III Concert V6C/iir-autoeq.txt
Aperion Audio Verus III Concert V8B	Spinorama	datas/eq/Aperion Audio Verus III Concert V8B/iir-autoeq.txt
Apple Homepod Mini	Spinorama	datas/eq/Apple Homepod Mini/iir-autoeq.txt
Apple Homepod	Spinorama	datas/eq/Apple Homepod/iir-autoeq.txt
Arendal Sound 1528 Monitor 8	Spinorama	datas/eq/Arendal Sound 1528 Monitor 8/iir-autoeq.txt
Arendal Sound 1723 Bookshelf S THX	Spinorama	datas/eq/Arendal Sound 1723 Bookshelf S THX/iir-autoeq.txt
Arendal Sound 1723 Monitor S THX	Spinorama	datas/eq/Arendal Sound 1723 Monitor S THX/iir-autoeq.txt
Arendal Sound 1723 Monitor THX	Spinorama	datas/eq/Arendal Sound 1723 Monitor THX/iir-autoeq.txt
Arendal Sound 1961 Bookshelf	Spinorama	datas/eq/Arendal Sound 1961 Bookshelf/iir-autoeq.txt
Arendal Sound 1961 Center	Spinorama	datas/eq/Arendal Sound 1961 Center/iir-autoeq.txt
Arendal Sound 1961 Monitor	Spinorama	datas/eq/Arendal Sound 1961 Monitor/iir-autoeq.txt
Arendal Sound 1961 Tower	Spinorama	datas/eq/Arendal Sound 1961 Tower/iir-autoeq.txt
Argon Audio 6340	Spinorama	datas/eq/Argon Audio 6340/iir-autoeq.txt
Argon Audio 6350	Spinorama	datas/eq/Argon Audio 6350/iir-autoeq.txt
Ascend Acoustics CBM-170 SE	Spinorama	datas/eq/Ascend Acoustics CBM-170 SE/iir-autoeq.txt
Ascend Acoustics CBM-170 SE2	Spinorama	datas/eq/Ascend Acoustics CBM-170 SE2/iir-autoeq.txt
Ascend Acoustics CMT-340 Center	Spinorama	datas/eq/Ascend Acoustics CMT-340 Center/iir-autoeq.txt
Ascend Acoustics CMT-340 SE2	Spinorama	datas/eq/Ascend Acoustics CMT-340 SE2/iir-autoeq.txt
Ascend Acoustics ELX Ribbon Horizon	Spinorama	datas/eq/Ascend Acoustics ELX Ribbon Horizon/iir-autoeq.txt
Ascend Acoustics ELX Ribbon Tower	Spinorama	datas/eq/Ascend Acoustics ELX Ribbon Tower/iir-autoeq.txt
Ascend Acoustics HTM-200SE2	Spinorama	datas/eq/Ascend Acoustics HTM-200SE2/iir-autoeq.txt
Ascend Acoustics Horizon Center	Spinorama	datas/eq/Ascend Acoustics Horizon Center/iir-autoeq.txt
Ascend Acoustics Luna Duo	Spinorama	datas/eq/Ascend Acoustics Luna Duo/iir-autoeq.txt
Ascend Acoustics Luna Mini-Monitor	Spinorama	datas/eq/Ascend Acoustics Luna Mini-Monitor/iir-autoeq.txt
Ascend Acoustics Luna V2 Mini-Monitor Ribbon	Spinorama	datas/eq/Ascend Acoustics Luna V2 Mini-Monitor Ribbon/iir-autoeq.txt
Ascend Acoustics Luna V2 Mini-Monitor Titan	Spinorama	datas/eq/Ascend Acoustics Luna V2 Mini-Monitor Titan/iir-autoeq.txt
Ascend Acoustics Sierra 1 V2	Spinorama	datas/eq/Ascend Acoustics Sierra 1 V2/iir-autoeq.txt
Ascend Acoustics Sierra 2	Spinorama	datas/eq/Ascend Acoustics Sierra 2/iir-autoeq.txt
